,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
174,334.0,381100.0,1.80263157895,0.0492554640984,3.61526946108,0.0437281702297,334,273505,4031.0,NC,Mecklenburg,Charlotte,Downtown Sharlotte,-80.852273,35.2223993,0.0397322,0.0188334,2.27296163309
175,79.0,75400.0,2.0,0.0,2.6,0.622896460096,5,273510,3992.0,NC,Mecklenburg,Charlotte,Druid Hills North,-80.8230129,35.266211,0.028246,0.02193,1.88751942126
176,91.0,154900.0,1.63194444444,0.0457981007024,3.57111111111,0.0607544699931,225,273548,4001.0,NC,Mecklenburg,Charlotte,East Forest,-80.7371619,35.1558885,0.078346,0.077819,18.750255203
177,,,1.52777777778,0.133137072635,3.60416666667,0.103898961559,120,273554,4425.0,NV,Clark,Las Vegas,East Las Vegas,-115.1026653,36.1736845,0.0453718,0.0296547,10.9061025992
178,324.0,998400.0,2.0,0.125,3.80769230769,0.13881174209,39,273581,3918.0,NC,Mecklenburg,Charlotte,Eastover,-80.8195684,35.1936415,0.015249,0.021855,1.01589681595
179,122.0,162100.0,1.43333333333,0.0904720132703,3.55714285714,0.129001548118,35,273589,3927.0,NC,Mecklenburg,Charlotte,Eastway-Sheffield Park,-80.7663589,35.207296,0.039624,0.016632,2.02045168429
180,,,2.0,0.0,3.70588235294,0.18158673721,17,273592,4026.0,NC,Mecklenburg,Charlotte,Echo Hills,-80.7949769,35.197688,0.024212,0.013258,0.981110464197
181,214.0,301700.0,1.70967741935,0.0706422073674,3.81851851852,0.0698042348615,135,273625,3962.0,NC,Mecklenburg,Charlotte,Elizabeth,-80.8202414,35.212166,0.024869,0.025168,1.90780016762
182,67.0,72900.0,1.28571428571,0.170746944191,3.25,0.467707173347,8,273643,3903.0,NC,Mecklenburg,Charlotte,Enderly Park,-80.8820214,35.245374,0.028653,0.024408,2.11748540421
183,93.0,162400.0,1.39795918367,0.0515074628107,3.31896551724,0.0934765148326,174,273652,289.0,AZ,Maricopa,Phoenix,Estrella,-112.1947252,33.4201184,0.1897697,0.0860632,117.877773406
184,69.0,102800.0,1.5,0.176776695297,3.07692307692,0.242314736443,13,273705,4053.0,NC,Mecklenburg,Charlotte,Farm Pond,-80.7318554,35.2158785,0.019035,0.027125,1.58881747245
185,55.0,81400.0,1.25,0.216506350946,2.9375,0.347282980795,8,273723,4057.0,NC,Mecklenburg,Charlotte,Firestone-Garden Park,-80.8740534,35.288261,0.039703,0.037804,4.54836527628
